gene,FC,neg_log_10_padj,padj
Grk3,1,0,1
Rab32,0.778,0.307,0.493173804
1700012D14Rik,1.598,1.278,0.052722986
Slc46a3,1.635,0.445,0.358921935
Pter,1,0,1
Gm20404,1,0,1
Gm44264,1.001,0.036,0.920449572
Sprtn,1.268,0.248,0.564936975
Kbtbd11,1.228,0.976,0.105681751
Rrad,0.334,1.637,0.023067472
Gm44668,1.25,0.462,0.345143739
Dgkh,1.431,0.937,0.115611224
Zfas1,1.263,1.578,0.026424088
Foxo1,0.508,3.797,0.000159588
Rab6b,0.536,1.405,0.039355008
Arid3b,0.775,1.398,0.039994475
Gbp3,1.68,1.214,0.061094202
Chka,0.615,0.72,0.190546072
Galnt9,0.386,1.768,0.017060824
Kctd7,0.912,0.131,0.739605275
Tmem62,0.838,0.308,0.492039536
BC147527,0.821,1.506,0.031188896
Rflnb,0.452,3.202,0.000628058
Gypc,0.603,2.615,0.00242661
Fam49b,0.505,2.13,0.007413102
Ankrd54,0.818,0.398,0.39994475
Igsf6,0.949,0.167,0.680769359
Map7d1,0.185,3.251,0.000561048
Celf1,0.446,3.14,0.000724436
Sowahc,1,0,1
Selenop,0.557,2.082,0.008279422
Marcks,1,0,1
Ehd1,0.615,1.27,0.05370318
Gm37465,0.934,0.173,0.671428853
Vars,0.974,0.108,0.779830111
2810001G20Rik,0.479,3.06,0.000870964
BE692007,0.673,2.43,0.003715352
Cd99l2,0.469,3.389,0.000408319
Kctd12,1,0,1
Samd9l,1.289,0.611,0.244906324
Ier2,0.384,0.848,0.141905752
Pacs1,0.301,3.11,0.000776247
Crtc2,0.462,1.197,0.063533093
Dusp3,1,0,1
Gm11440,0.849,0.193,0.641209577
Gramd3,0.474,1.313,0.048640721
Zbtb16,1,0,1
Cyth3,0.487,2.523,0.002999163
Prkcd,0.574,1.379,0.041783037
Ms4a6b,1.369,1.965,0.010839269
Tha1,1.56,1.564,0.027289778
Eri1,0.684,0.522,0.30060763
2310061I04Rik,0.526,0.928,0.118032064
Vsig10l,1.821,0.935,0.116144861
Nol7,0.515,0.846,0.142560759
1700017B05Rik,0.864,0.425,0.375837404
Arhgef3,1.321,1.31,0.048977882
Sema4d,1.829,2.669,0.002142891
Map3k3,0.663,1.539,0.028906799
Gm16153,1.687,1.52,0.030199517
Ppm1d,0.247,1.362,0.043451022
Polr2m,0.623,0.694,0.202301918
Gjb2,1,0,1
Eif3f,0.457,0.769,0.170215851
Hgsnat,0.633,0.832,0.14723125
Fam3c,0.532,3.018,0.000959401
Cr2,1,0,1
Gpr34,1.398,0.847,0.142232879
Letm1,0.766,0.697,0.200909281
Tgif1,0.541,1.107,0.07816278
Chd7,0.555,3.794,0.000160694
Cd55os,1,0,1
Tmem214,0.619,0.61,0.245470892
Map2k5,0.499,1.317,0.04819478
Rfx5,0.502,1.183,0.065614527
Stard7,0.478,3.427,0.000374111
Dusp6,0.888,0.677,0.210377844
Wsb1,1.201,1.612,0.024434306
Gpr15,1,0,1
Mospd3,0.218,1.692,0.02032357
Tmem30a,0.455,1.026,0.09418896
Tmem192,0.631,0.538,0.289734359
Klhl25,0.707,0.747,0.179060585
Elovl6,0.72,0.52,0.301995172
Gm17655,1.658,0.979,0.104954243
Cnst,1.048,0.122,0.755092228
Ccdc88b,0.316,2.375,0.004216965
Cdc16,0.676,0.566,0.271643927
Nod1,0.808,0.246,0.567544605
Hibadh,0.666,0.619,0.24043628
Gns,0.362,1.127,0.074644876
Nab2,0.295,3.687,0.000205589
Scaf4,0.301,1.8,0.015848932
Tmem170b,1.195,0.178,0.66374307
Tcf3,0.436,1.166,0.068233869
Borcs6,0.209,1.34,0.045708819
Trappc6b,0.669,0.752,0.177010896
Rab27a,0.573,1.706,0.019678863
Tmem259,0.636,0.395,0.402717034
Entr1,0.618,0.835,0.146217717
Lrch1,0.736,0.792,0.161435856
Lrrc8d,1.239,0.707,0.196336028
Pde4b,0.561,2.323,0.004753352
Irf2,0.693,1.165,0.068391165
Trib2,2.067,4.072,8.47E-05
Selenoo,0.313,1.103,0.078886012
Gm9856,0.728,0.54,0.28840315
Rab36,1,0,1
Uri1,0.513,1.781,0.0165577
Hacd2,0.524,0.938,0.115345326
Kdm4b,0.491,1.353,0.044360864
Plbd2,0.531,0.668,0.214783047
Gpr180,0.841,0.313,0.486407206
Panx1,0.293,1.39,0.040738028
Prmt3,0.952,0.161,0.690239804
Mark4,0.31,1.375,0.04216965
Ptger4,1.434,0.652,0.222843515
Mapre2,1.13,0.737,0.183231442
Sh2b3,0.881,0.242,0.572796031
Mgat4b,1,0,1
Atg3,0.492,0.973,0.106414302
Psmd3,0.718,0.43,0.371535229
Dnajb11,0.691,0.542,0.287078058
Mlxip,0.503,2.681,0.002084491
Slc30a5,0.456,1.24,0.057543994
Steap3,1,0,1
Tmem160,0.291,1.712,0.019408859
Arl10,0.356,1.571,0.026853444
Phf13,0.265,1.32,0.047863009
Lfng,0.694,0.564,0.272897778
Brap,0.332,1.732,0.018535316
Plekho1,1.48,0.35,0.446683592
Dtwd2,0.444,1.965,0.010839269
Xylt2,0.145,4.169,6.78E-05
Umps,1.455,1.722,0.018967059
Map2k6,0.904,0.229,0.59020108
Zfp296,1,0,1
Bcl9l,0.293,3.439,0.000363915
Ifit3b,2.264,0.669,0.21428906
Fgfr1,1,0,1
Ubqln1,0.287,2.947,0.001129796
Susd6,0.533,1.34,0.045708819
Tnfrsf26,1.115,0.407,0.391741877
Insr,0.677,1.528,0.029648314
Uvrag,0.797,0.481,0.330369541
Rap1a,0.699,1.174,0.066988461
Zdhhc7,0.434,0.798,0.159220873
S1pr4,0.465,1.896,0.012705741
Nubp1,0.552,0.732,0.185353162
Gm23935,0.195,2.943,0.00114025
Lrrc59,0.684,0.48,0.331131121
Chn2,0.585,0.821,0.151008015
Chst14,0.38,0.744,0.180301774
Mapk1,0.307,2.047,0.008974288
Emc10,0.355,1.569,0.026977394
Pcyt1a,1.101,0.204,0.625172693
Nek7,1.219,0.212,0.613762005
Hivep3,0.764,0.451,0.353997341
Fam72a,1,0,1
Rnd3,1,0,1
Atxn2l,0.315,1.152,0.070469307
Tm7sf3,0.941,0.128,0.744731974
Otulinl,0.225,1.861,0.013772095
Prkch,0.421,1.447,0.035727284
Cxcl10,1,0,1
Ifrd1,0.71,0.764,0.172186857
Raly,0.311,1.192,0.064268772
Upf3a,0.308,2.074,0.008433348
Spi1,1,0,1
Rps2,0.427,0.83,0.147910839
Lrp10,0.275,2.428,0.003732502
Ppp4c,0.468,0.825,0.149623566
Trir,0.221,2.416,0.003837072
Ggnbp2,0.409,1.083,0.082603795
Gm49616,1.378,0.487,0.325836701
Ccdc146,1,0,1
Lamp1,0.219,1.168,0.067920363
Rbms1,0.331,1.087,0.081846479
Txndc5,0.471,0.901,0.125602996
Hpgd,1,0,1
Thap11,0.255,1.29,0.051286138
Pgp,0.526,1.087,0.081846479
CT010467.2,0.238,1.654,0.022181964
Rnf10,0.361,1.391,0.040644333
Donson,0.537,0.795,0.160324539
Hdac2,0.327,1.124,0.075162289
Naa15,0.718,0.479,0.331894458
Rcsd1,1.074,0.565,0.272270131
Pltp,1,0,1
Cdk16,0.352,1.457,0.034914032
C2cd2,0.831,0.353,0.443608644
Ppp1cb,1.203,0.534,0.292415238
Sorbs3,1.916,0.893,0.12793813
Ccdc85b,0.512,0.672,0.212813905
4933431G14Rik,1,0,1
Micu2,0.46,0.83,0.147910839
St14,1.322,0.062,0.866961876
Lrrk2,1,0,1
Kctd13,0.652,0.544,0.285759054
Myo1e,0.58,0.299,0.50234259
Scand1,0.307,1.544,0.028575905
Khdrbs1,0.212,2.726,0.001879317
Mtrf1l,0.38,0.978,0.105196187
Thada,0.647,3.467,0.000341193
Tusc2,0.538,0.64,0.229086765
Btg1,0.436,3.059,0.000872971
Cry1,1.128,0.195,0.638263486
Usp39,0.723,0.433,0.368977599
Uba5,0.236,1.836,0.014588143
Trp53rka,0.677,0.464,0.343557948
G0s2,2.49,1.763,0.017258379
Zfp622,0.283,2.529,0.002958012
Cd24a,1,0,1
Ctdp1,0.336,2.509,0.003097419
Nedd9,0.845,0.97,0.107151931
Zfp36l1,0.453,3.832,0.000147231
Rcc1l,0.351,3.994,0.000101391
Fzr1,0.19,3.736,0.000183654
Rnase6,1,0,1
Prdm16,1.351,0.437,0.365594792
Anp32b,0.296,1.433,0.03689776
Chmp7,0.248,1.255,0.055590426
Bcl11b,1.098,0.093,0.80723503
Xkrx,1.406,2.228,0.005915616
Nsun2,0.531,0.945,0.113501082
Syap1,0.248,1.663,0.021727012
Marcksl1,0.099,1.933,0.011668096
Setd6,0.289,3.734,0.000184502
Dnaaf5,0.621,0.625,0.237137371
Acbd6,0.309,1.002,0.099540542
Chpf,0.571,0.814,0.153461698
Bcl6,0.23,1.783,0.016481624
Fance,0.469,0.875,0.133352143
Sys1,0.691,0.712,0.194088588
Rac1,0.168,1.355,0.044157045
Rasgef1b,1,0,1
Dusp16,1,0,1
Cactin,0.429,0.927,0.118304156
Fnta,0.258,1.52,0.030199517
Fam43a,1,0,1
Osbpl11,0.809,0.346,0.450816705
E130309D02Rik,0.307,1.943,0.011402498
Mxd1,3.961,2.921,0.001199499
Slc30a9,0.648,1.106,0.078342964
Arhgap31,0.779,1.037,0.09183326
Aggf1,0.391,1.722,0.018967059
Bloc1s4,0.253,2.605,0.002483133
Mcoln2,1,0,1
A130051J06Rik,0.312,2.034,0.009246982
Gpatch3,0.128,2.051,0.008892011
Trim27,0.301,2.142,0.007211075
Mgat2,0.236,2.124,0.007516229
Utp18,0.284,3.422,0.000378443
Rrs1,1.273,0.09,0.812830516
Naip6,1,0,1
Colq,0.337,0.986,0.103276141
A430088P11Rik,0.465,1.304,0.049659232
Vipr1,0.425,3.898,0.000126474
Nsmce3,0.151,1.56,0.027542287
Syk,1,0,1
Acss1,0.598,1.55,0.028183829
Socs5,0.368,3.337,0.000460257
Tmcc2,1,0,1
Rnf187,0.305,0.865,0.136458314
Pim3,1.158,0.083,0.82603795
Pecam1,0.834,1.154,0.07014553
Samsn1,1.077,0.411,0.388150366
St8sia1,0.326,3.213,0.00061235
