gene,FC,neg_log_10_padj,padj
Rora,0.461,0.667,0.215278173
A730063M14Rik,0.402,0.67,0.213796209
Elmo2,1.697,0.687,0.20558906
Plxdc1,0.613,0.691,0.203704208
Rhob,0.507,0.696,0.201372425
Dennd2c,1.793,0.698,0.200447203
Fcho2,0.663,0.709,0.195433946
Oscp1,0.662,0.717,0.191866874
Cdt1,0.808,0.732,0.185353162
Prkcd,0.89,0.735,0.1840772
Gm10037,0.455,0.747,0.179060585
Dgke,1.15,0.753,0.176603782
Nrp1,0.316,0.753,0.176603782
Gm26532,0.32,0.767,0.171001532
Arhgef3,0.902,0.778,0.166724721
Gab3,0.643,0.782,0.16519618
Wdr19,0.324,0.796,0.159955803
Mlph,0.338,0.802,0.157761127
Gm42514,1.802,0.812,0.154170045
Cnst,0.749,0.854,0.139958732
Slc9a9,1.242,0.877,0.132739446
Mob3b,0.731,0.897,0.126765187
Lpin1,0.634,0.937,0.115611224
Crebl2,0.631,0.946,0.113240036
Plpp1,0.385,0.95,0.112201845
Gadd45b,1.871,1.001,0.099770006
Aldoc,2.246,1.015,0.096605088
Tmem43,0.754,1.019,0.095719407
Ccna2,0.441,1.019,0.095719407
S100a11,1.851,1.024,0.094623716
Mcpt2,0.552,1.027,0.093972331
Traf3,0.766,1.033,0.092682982
Poll,1.389,1.048,0.089536477
Kctd14,0.258,1.048,0.089536477
Rcn1,1.538,1.049,0.089330548
Mapre2,0.708,1.088,0.081658237
Glipr1,0.87,1.106,0.078342964
Sox7,0.567,1.107,0.07816278
Creb3l3,0.414,1.133,0.07362071
Tut4,1.306,1.153,0.070307232
Tcf19,0.582,1.184,0.065463617
Sesn1,0.636,1.21,0.0616595
Tpra1,0.766,1.213,0.061235039
Calcoco1,0.649,1.215,0.06095369
9530085L11Rik,2.065,1.223,0.05984116
Calcrl,0.739,1.233,0.058479008
Rasgrp2,0.716,1.253,0.055847019
Pcmtd2,0.75,1.29,0.051286138
Kif21b,0.734,1.296,0.050582466
Plekhn1,0.718,1.308,0.049203954
Mxd4,0.472,1.353,0.044360864
Mgat4a,1.333,1.361,0.043551187
Golm1,0.665,1.402,0.039627803
Phxr4,0.69,1.413,0.038636698
Hvcn1,0.642,1.414,0.038547836
Slc12a6,0.659,1.426,0.0374973
Gm43201,3.063,1.441,0.0362243
Tubb5,0.784,1.456,0.034994517
Ramp1,0.657,1.49,0.032359366
Tnip1,0.64,1.502,0.031477483
Fam107b,0.844,1.528,0.029648314
Tent5a,0.55,1.533,0.029308932
AC113595.1,1.726,1.551,0.028119008
Fut7,2.646,1.561,0.027478942
Heca,0.711,1.573,0.026730064
